120
 	 01:00:06:00.58	 HIT	 00:00:00:00.01	
 	 01:00:43:12.06	 HIT	 00:00:00:00.01	
 	 01:00:43:24.02	 HIT	 00:00:00:00.01	
 	 01:00:44:12.51	 HIT	 00:00:00:00.01	
 	 01:00:45:00.28	 HIT	 00:00:00:00.01	
 	 01:00:45:13.43	 HIT	 00:00:00:00.01	
 	 01:00:46:00.38	 HIT	 00:00:00:00.01	
 	 01:00:46:12.69	 HIT	 00:00:00:00.01	
 	 01:00:47:00.71	 HIT	 00:00:00:00.01	
 	 01:00:47:13.55	 HIT	 00:00:00:00.01	
 	 01:00:48:00.20	 HIT	 00:00:00:00.01	
 	 01:00:48:12.57	 HIT	 00:00:00:00.01	
 	 01:00:49:00.79	 HIT	 00:00:00:00.01	
 	 01:00:49:13.79	 HIT	 00:00:00:00.01	
 	 01:00:50:00.41	 HIT	 00:00:00:00.01	
 	 01:00:50:13.04	 HIT	 00:00:00:00.01	
 	 01:00:51:00.29	 HIT	 00:00:00:00.01	
 	 01:00:51:12.57	 HIT	 00:00:00:00.01	
 	 01:00:52:00.70	 HIT	 00:00:00:00.01	
 	 01:00:52:12.41	 HIT	 00:00:00:00.01	
 	 01:00:53:00.41	 HIT	 00:00:00:00.01	
 	 01:00:53:13.31	 HIT	 00:00:00:00.01	
 	 01:00:54:00.58	 HIT	 00:00:00:00.01	
 	 01:00:54:06.52	 HIT	 00:00:00:00.01	
 	 01:00:54:13.73	 HIT	 00:00:00:00.01	
 	 01:00:54:19.38	 HIT	 00:00:00:00.01	
 	 01:00:55:00.74	 HIT	 00:00:00:00.01	
 	 01:00:55:07.10	 HIT	 00:00:00:00.01	
 	 01:00:55:12.57	 HIT	 00:00:00:00.01	
 	 01:00:55:20.00	 HIT	 00:00:00:00.01	
 	 01:00:56:00.71	 HIT	 00:00:00:00.01	
 	 01:00:56:06.49	 HIT	 00:00:00:00.01	
 	 01:00:56:13.31	 HIT	 00:00:00:00.01	
 	 01:00:56:18.77	 HIT	 00:00:00:00.01	
 	 01:00:57:00.29	 HIT	 00:00:00:00.01	
 	 01:00:57:06.62	 HIT	 00:00:00:00.01	
 	 01:00:57:13.31	 HIT	 00:00:00:00.01	
 	 01:00:57:19.33	 HIT	 00:00:00:00.01	
 	 01:00:58:00.41	 HIT	 00:00:00:00.01	
 	 01:00:58:06.37	 HIT	 00:00:00:00.01	
 	 01:00:58:12.62	 HIT	 00:00:00:00.01	
 	 01:00:58:19.21	 HIT	 00:00:00:00.01	
 	 01:00:59:00.16	 HIT	 00:00:00:00.01	
 	 01:00:59:06.78	 HIT	 00:00:00:00.01	
 	 01:00:59:13.31	 HIT	 00:00:00:00.01	
 	 01:00:59:19.22	 HIT	 00:00:00:00.01	
 	 01:01:00:01.15	 HIT	 00:00:00:00.01	
 	 01:01:00:06.53	 HIT	 00:00:00:00.01	
 	 01:01:00:13.02	 HIT	 00:00:00:00.01	
 	 01:01:00:18.77	 HIT	 00:00:00:00.01	
 	 01:01:01:00.45	 HIT	 00:00:00:00.01	
 	 01:01:01:06.73	 HIT	 00:00:00:00.01	
 	 01:01:01:12.69	 HIT	 00:00:00:00.01	
 	 01:01:01:18.71	 HIT	 00:00:00:00.01	
 	 01:01:02:00.43	 HIT	 00:00:00:00.01	
 	 01:01:02:06.48	 HIT	 00:00:00:00.01	
 	 01:01:02:13.01	 HIT	 00:00:00:00.01	
 	 01:01:02:18.48	 HIT	 00:00:00:00.01	
 	 01:01:03:00.58	 HIT	 00:00:00:00.01	
 	 01:01:03:06.78	 HIT	 00:00:00:00.01	
 	 01:01:03:13.01	 HIT	 00:00:00:00.01	
 	 01:01:03:19.09	 HIT	 00:00:00:00.01	
 	 01:01:04:00.37	 HIT	 00:00:00:00.01	
 	 01:01:04:07.11	 HIT	 00:00:00:00.01	
 	 01:01:04:12.69	 HIT	 00:00:00:00.01	
 	 01:01:04:18.35	 HIT	 00:00:00:00.01	
 	 01:01:04:24.69	 HIT	 00:00:00:00.01	
 	 01:01:05:06.19	 HIT	 00:00:00:00.01	
 	 01:01:05:12.44	 HIT	 00:00:00:00.01	
 	 01:01:05:18.77	 HIT	 00:00:00:00.01	
 	 01:01:06:00.31	 HIT	 00:00:00:00.01	
 	 01:01:06:06.51	 HIT	 00:00:00:00.01	
 	 01:01:06:12.57	 HIT	 00:00:00:00.01	
 	 01:01:06:19.09	 HIT	 00:00:00:00.01	
 	 01:01:07:00.29	 HIT	 00:00:00:00.01	
 	 01:01:07:06.08	 HIT	 00:00:00:00.01	
 	 01:01:07:13.43	 HIT	 00:00:00:00.01	
 	 01:01:07:19.38	 HIT	 00:00:00:00.01	
 	 01:01:08:00.71	 HIT	 00:00:00:00.01	
 	 01:01:08:06.78	 HIT	 00:00:00:00.01	
 	 01:01:08:13.31	 HIT	 00:00:00:00.01	
 	 01:01:08:18.77	 HIT	 00:00:00:00.01	
 	 01:01:09:00.58	 HIT	 00:00:00:00.01	
 	 01:01:09:06.61	 HIT	 00:00:00:00.01	
 	 01:01:09:12.28	 HIT	 00:00:00:00.01	
 	 01:01:14:01.16	 HIT	 00:00:00:00.01	
 	 01:01:16:00.49	 HIT	 00:00:00:00.01	
 	 01:01:17:24.35	 HIT	 00:00:00:00.01	
 	 01:01:19:23.50	 HIT	 00:00:00:00.01	
 	 01:01:21:17.64	 HIT	 00:00:00:00.01	
 	 01:01:22:00.58	 HIT	 00:00:00:00.01	
 	 01:01:23:24.68	 HIT	 00:00:00:00.01	
 	 01:01:25:24.55	 HIT	 00:00:00:00.01	
 	 01:01:27:24.26	 HIT	 00:00:00:00.01	
 	 01:01:30:00.41	 HIT	 00:00:00:00.01	
 	 01:01:31:00.58	 HIT	 00:00:00:00.01	
 	 01:01:31:23.76	 HIT	 00:00:00:00.01	
 	 01:01:33:00.17	 HIT	 00:00:00:00.01	
 	 01:01:33:24.26	 HIT	 00:00:00:00.01	
 	 01:01:35:00.17	 HIT	 00:00:00:00.01	
 	 01:01:35:24.68	 HIT	 00:00:00:00.01	
 	 01:01:37:01.02	 HIT	 00:00:00:00.01	
 	 01:01:37:24.55	 HIT	 00:00:00:00.01	
 	 01:01:38:12.15	 HIT	 00:00:00:00.01	
 	 01:01:39:00.41	 HIT	 00:00:00:00.01	
 	 01:01:39:13.60	 HIT	 00:00:00:00.01	
 	 01:01:40:00.29	 HIT	 00:00:00:00.01	
 	 01:01:40:13.31	 HIT	 00:00:00:00.01	
 	 01:01:41:01.33	 HIT	 00:00:00:00.01	
 	 01:01:41:12.69	 HIT	 00:00:00:00.01	
 	 01:01:42:00.71	 HIT	 00:00:00:00.01	
 	 01:01:42:13.31	 HIT	 00:00:00:00.01	
 	 01:01:43:00.58	 HIT	 00:00:00:00.01	
 	 01:01:43:12.57	 HIT	 00:00:00:00.01	
 	 01:01:44:00.41	 HIT	 00:00:00:00.01	
 	 01:01:44:13.18	 HIT	 00:00:00:00.01	
 	 01:01:45:00.41	 HIT	 00:00:00:00.01	
 	 01:01:45:09.18	 HIT	 00:00:00:00.01	
 	 01:01:45:19.62	 HIT	 00:00:00:00.01	
 	 01:01:46:06.61	 HIT	 00:00:00:00.01	
 	 01:01:46:24.55	 HIT	 00:00:00:00.01	
 	 01:01:47:10.11	 HIT	 00:00:00:00.01	
 	 01:01:48:00.71	 HIT	 00:00:00:00.01	
 	 01:01:49:00.29	 HIT	 00:00:00:00.01	
 	 01:01:49:10.47	 HIT	 00:00:00:00.01	
 	 01:01:50:00.17	 HIT	 00:00:00:00.01	
 	 01:01:51:00.17	 HIT	 00:00:00:00.01	
 	 01:01:51:10.08	 HIT	 00:00:00:00.01	
 	 01:01:52:00.29	 HIT	 00:00:00:00.01	
 	 01:01:53:01.02	 HIT	 00:00:00:00.01	
 	 01:01:53:10.11	 HIT	 00:00:00:00.01	
 	 01:01:53:18.72	 HIT	 00:00:00:00.01	
 	 01:01:54:00.71	 HIT	 00:00:00:00.01	
 	 01:01:54:12.57	 HIT	 00:00:00:00.01	
 	 01:01:55:00.29	 HIT	 00:00:00:00.01	
 	 01:01:55:13.13	 HIT	 00:00:00:00.01	
 	 01:01:56:00.41	 HIT	 00:00:00:00.01	
 	 01:01:56:12.69	 HIT	 00:00:00:00.01	
 	 01:01:57:00.17	 HIT	 00:00:00:00.01	
 	 01:01:57:12.52	 HIT	 00:00:00:00.01	
 	 01:01:58:00.29	 HIT	 00:00:00:00.01	
 	 01:01:58:13.01	 HIT	 00:00:00:00.01	
 	 01:01:59:00.71	 HIT	 00:00:00:00.01	
 	 01:01:59:13.18	 HIT	 00:00:00:00.01	
 	 01:02:00:00.53	 HIT	 00:00:00:00.01	
 	 01:02:00:13.60	 HIT	 00:00:00:00.01	
 	 01:02:01:00.58	 HIT	 00:00:00:00.01	
 	 01:02:01:10.34	 HIT	 00:00:00:00.01	
 	 01:02:01:19.38	 HIT	 00:00:00:00.01	
 	 01:02:02:01.74	 HIT	 00:00:00:00.01	
 	 01:02:02:12.69	 HIT	 00:00:00:00.01	
 	 01:02:03:00.17	 HIT	 00:00:00:00.01	
 	 01:02:03:13.31	 HIT	 00:00:00:00.01	
 	 01:02:04:00.58	 HIT	 00:00:00:00.01	
 	 01:02:04:13.31	 HIT	 00:00:00:00.01	
 	 01:02:05:00.71	 HIT	 00:00:00:00.01	
 	 01:02:05:13.42	 HIT	 00:00:00:00.01	
 	 01:02:06:00.53	 HIT	 00:00:00:00.01	
 	 01:02:06:13.60	 HIT	 00:00:00:00.01	
 	 01:02:07:00.58	 HIT	 00:00:00:00.01	
 	 01:02:07:13.31	 HIT	 00:00:00:00.01	
 	 01:02:08:01.20	 HIT	 00:00:00:00.01	
 	 01:02:08:13.18	 HIT	 00:00:00:00.01	
 	 01:02:09:01.02	 HIT	 00:00:00:00.01	
 	 01:02:09:10.63	 HIT	 00:00:00:00.01	
 	 01:02:10:05.75	 HIT	 00:00:00:00.01	
 	 01:02:10:15.25	 HIT	 00:00:00:00.01	
 	 01:02:11:00.41	 HIT	 00:00:00:00.01	
 	 01:02:11:09.47	 HIT	 00:00:00:00.01	
 	 01:02:11:18.06	 HIT	 00:00:00:00.01	
 	 01:02:12:06.32	 HIT	 00:00:00:00.01	
 	 01:02:12:15.49	 HIT	 00:00:00:00.01	
 	 01:02:13:00.12	 HIT	 00:00:00:00.01	
 	 01:02:13:09.59	 HIT	 00:00:00:00.01	
 	 01:02:13:18.72	 HIT	 00:00:00:00.01	
 	 01:02:14:07.22	 HIT	 00:00:00:00.01	
 	 01:02:14:17.32	 HIT	 00:00:00:00.01	
 	 01:02:15:01.02	 HIT	 00:00:00:00.01	
 	 01:02:15:09.47	 HIT	 00:00:00:00.01	
 	 01:02:15:18.17	 HIT	 00:00:00:00.01	
 	 01:02:16:06.19	 HIT	 00:00:00:00.01	
 	 01:02:16:16.70	 HIT	 00:00:00:00.01	
 	 01:02:17:00.41	 HIT	 00:00:00:00.01	
 	 01:02:17:09.47	 HIT	 00:00:00:00.01	
 	 01:02:17:18.06	 HIT	 00:00:00:00.01	
 	 01:02:18:06.19	 HIT	 00:00:00:00.01	
 	 01:02:18:15.20	 HIT	 00:00:00:00.01	
 	 01:02:18:24.55	 HIT	 00:00:00:00.01	
 	 01:02:19:08.26	 HIT	 00:00:00:00.01	
 	 01:02:19:17.56	 HIT	 00:00:00:00.01	
 	 01:02:20:06.37	 HIT	 00:00:00:00.01	
 	 01:02:20:15.20	 HIT	 00:00:00:00.01	
 	 01:02:20:24.37	 HIT	 00:00:00:00.01	
 	 01:02:21:07.64	 HIT	 00:00:00:00.01	
 	 01:02:21:17.73	 HIT	 00:00:00:00.01	
 	 01:02:22:07.64	 HIT	 00:00:00:00.01	
 	 01:02:22:15.68	 HIT	 00:00:00:00.01	
 	 01:02:22:24.37	 HIT	 00:00:00:00.01	
 	 01:02:23:08.38	 HIT	 00:00:00:00.01	
 	 01:02:23:18.06	 HIT	 00:00:00:00.01	
 	 01:02:24:06.19	 HIT	 00:00:00:00.01	
 	 01:02:24:15.20	 HIT	 00:00:00:00.01	
 	 01:02:25:00.00	 HIT	 00:00:00:00.01	
 	 01:02:25:09.00	 HIT	 00:00:00:00.01	
 	 01:02:25:18.59	 HIT	 00:00:00:00.01	
 	 01:02:26:06.37	 HIT	 00:00:00:00.01	
 	 01:02:26:14.63	 HIT	 00:00:00:00.01	
 	 01:02:26:24.68	 HIT	 00:00:00:00.01	
 	 01:02:27:08.43	 HIT	 00:00:00:00.01	
 	 01:02:27:18.35	 HIT	 00:00:00:00.01	
 	 01:02:28:06.32	 HIT	 00:00:00:00.01	
 	 01:02:28:15.38	 HIT	 00:00:00:00.01	
 	 01:02:28:24.68	 HIT	 00:00:00:00.01	
 	 01:02:29:09.42	 HIT	 00:00:00:00.01	
 	 01:02:29:18.06	 HIT	 00:00:00:00.01	
 	 01:02:30:07.64	 HIT	 00:00:00:00.01	
 	 01:02:30:16.53	 HIT	 00:00:00:00.01	
 	 01:02:31:00.41	 HIT	 00:00:00:00.01	
 	 01:02:31:09.29	 HIT	 00:00:00:00.01	
 	 01:02:31:18.35	 HIT	 00:00:00:00.01	
 	 01:02:32:06.37	 HIT	 00:00:00:00.01	
 	 01:02:32:15.79	 HIT	 00:00:00:00.01	
 	 01:02:33:00.53	 HIT	 00:00:00:00.01	
 	 01:02:33:10.63	 HIT	 00:00:00:00.01	
 	 01:02:34:10.63	 HIT	 00:00:00:00.01	
 	 01:02:35:03.39	 HIT	 00:00:00:00.01	
 	 01:02:35:22.07	 HIT	 00:00:00:00.01	
 	 01:02:36:19.51	 HIT	 00:00:00:00.01	
 	 01:02:37:12.40	 HIT	 00:00:00:00.01	
